pathway	pval	padj	log2err	ES	NES	size	leadingEdge	signedlogp	NAME
HALLMARK_E2F_TARGETS	1.23E-25	1.45E-22	1.311014763	0.637726245	2.768383188	195	BRCA1,ATAD2,DIAPH3,TUBG1,MMS22L,CTPS1,MCM4,POLE,PRKDC,NUP205,IPO7,PLK4,TIMELESS,RRM2,GINS4,SLBP,DNMT1,SMC4,PMS2,RFC3,MKI67,RFC1,CDCA8,RAD21,MELK,USP1,MAD2L1,KPNA2,NBN,PPP1R8,DONSON,NOLC1,TMPO,BRMS1L,BRCA2,CIT,CCNE1,MYBL2,SYNCRIP,CCP110,MCM2,NUP153,WEE1,BUB1B,RAD51AP1,MSH2,TRIP13,KIF18B,CHEK1,PCNA,SMC3,SMC1A,DCK,WDR90,KIF4A,ORC6,ANP32E,EZH2,CENPE,CSE1L,GINS1,DEPDC1,ING3,CDC25A,SPAG5,TOP2A,DSCC1,POLD3,HELLS,AURKA,UBE2T,BARD1,RAD1,NCAPD2,NUP107,TFRC,E2F8,DLGAP5,HMMR,CDC20,ESPL1,KIF2C,PLK1,STAG1,MTHFD2,CDC25B,TK1,ZW10,SMC6,HUS1,EIF2S1,PPM1D	24.91164419	HALLMARK_E2F_TARGETS
REACTOME_M_PHASE	8.95E-22	7.05E-19	1.203975241	0.51485259	2.427110285	338	KIF23,CEP135,AHCTF1,PSME3,TUBG1,PSMD12,MASTL,CLIP1,NUP155,NUP205,PLK4,CENPU,POM121C,INCENP,CENPJ,CENPL,CDC27,TPR,NCAPD3,PDS5A,SMC4,CEP152,NCAPH,DYNC1LI2,HAUS3,CENPN,CKAP5,POM121,PCNT,CDCA8,NCAPG2,RAD21,PSMD11,SKA1,PSME4,MAD2L1,CSNK2A1,TMPO,BLZF1,GORASP2,KNTC1,CHMP4C,PPP2R1B,NEK2,CCP110,NUP98,NUF2,DYNC1H1,CENPF,ZWILCH,GORASP1,NUP153,USO1,BUB1B,NEDD1,CEP192,NIPBL,CEP57,NUP160,CENPC,BUB1,ALMS1,TNPO1,PSMD3,ANKLE2,SMC3,VRK2,SMC2,AKAP9,SMC1A,KPNB1,CEP72,VRK1,TUBGCP5,CHMP2B,KIF18A,GOLGA2,YWHAG,CENPE,LPIN1,CLASP2,ANAPC1,NUP210,KIF2A,CDCA5,CENPI,NUP133,ARPP19,PHF8,TAOK1,MZT1,MAPRE1,NEK7,RANBP2,CDC23,RAB2A,CENPK,NUP54,NCAPD2,NUP107,NUP214,LEMD3,NUP188,NINL,PSMD2,STAG2,ERCC6L,NDC1,SPAST,CDC20,ESPL1,KIF2C,TUBGCP3,ODF2,UBE2E1,PLK1,STAG1,SPDL1,CEP78,TUBB1,ZWINT,PSMD5,TUBG2,EML4,ZW10,HAUS6,TUBGCP4,HAUS2,NDEL1,FBXO5,TUBB4B,CENPH,KIF20A,CEP76,NUP50,DYNC1I1	21.04811242	REACTOME_M_PHASE
HALLMARK_G2M_CHECKPOINT	2.50E-21	1.74E-18	1.195344483	0.614447134	2.678409373	189	KIF23,SLC7A1,STIL,SLC38A1,EGF,CDC6,TPX2,POLE,PLK4,TTK,POLQ,INCENP,SRSF10,CDC27,SMC4,RASAL2,E2F2,MKI67,NOTCH2,RAD21,MAD2L1,KPNA2,EXO1,NOLC1,TMPO,RAD23B,KIF5B,BRCA2,NEK2,MYBL2,PRC1,SYNCRIP,MCM2,NUP98,CENPF,CCNA2,BUB1,CHEK1,SLC12A2,E2F1,SMC2,SMC1A,SMAD3,NUSAP1,KPNB1,DBF4,KIF4A,ORC6,RAD54L,EZH2,CENPE,CBX1,CDC25A,CUL5,TOP2A,TFDP1,CASP8AP2,KIF20B,YTHDC1,AMD1,AURKA,BARD1,SLC7A5,KIF11,CHAF1A,DR1,KIF15,HMMR,CDC20,ESPL1,KIF2C,ODF2,PLK1,STAG1,HIF1A,NCL,CDC25B,SFPQ,HNRNPU,PRMT5,SMARCC1,HUS1,FBXO5,CUL1,NUP50,ATRX,SS18,NDC80,CUL4A,WRN,CDC7,CDC45,PBK,SUV39H1,PRIM2,XPO1,RACGAP1,DMD,CDKN3,MCM3,UCK2,GSPT1,BUB3,TOP1,ILF3,NUMA1,PDS5B,UBE2C,CCNT1,CCNB2,G3BP1	20.60122657	HALLMARK_G2M_CHECKPOINT
GOMF_ATP_HYDROLYSIS_ACTIVITY	1.05E-20	5.72E-18	1.177893261	0.527260594	2.428305568	291	KIF23,ATAD2,MCM8,HSPA4L,CHD8,ORC1,MCM4,SMC5,ASCC3,SNRNP200,DHX9,HSPA14,PIKFYVE,DNAH14,CHD4,CCT6A,DHX15,SMC4,ATAD5,DDX52,PMS2,HSPA13,DHX8,DDX5,NSF,TCP1,RFC1,RFC5,SRCAP,SMARCA5,AQR,DHX36,FIGNL1,VWA8,YME1L1,KIF14,KIF5B,BRIP1,PEX1,MCM2,KIF3B,MCM9,KIF16B,DHX29,VPS4B,DDX21,MSH2,KIF21A,TRIP13,KIF18B,ABCD3,SMCHD1,SMC3,SMC2,RECQL,MYO19,SMC1A,DDX47,HSPH1,RAD54L2,KIF3A,KIF18A,DHX33,HSPA9,PFN2,ERCC3,DDX59,HYOU1,RAD54L,DDX1,KIF2A,KIF20B,ABCA3,CHD2,RNF213,DDX42,KIF1A,CLPB,DNA2,ACIN1,DHX57,KIF15,ERCC6L,KIFC2,EIF4A2,ATAD1,SPAST,KIF2C,FANCM,INO80,ABCB10,RSF1,SMC1B,KIF1B,OLA1,DDX3X,KIF1C,KIF27,DHX37,DHX32,DDX46,KIF6,KIF20A,SMARCA4,ATAD3A,NAV2,DDX11,ATRX,DHX40,ATP13A4,IGHMBP2,WRN,DDX23,RECQL4,ATP6V1G1,SMARCAD1,HSP90AB1,HSPA6,HSPD1,YTHDC2,RAD50,DDX55,KIF3C,BLM,MCM3,BTAF1,CCT2,PSMC6,TOR1B,CHTF18,CCT5,HSPA5,DDX20,HSP90AA1,MLH1,G3BP1,DHX35,DDX60,TOR1A,ATF7IP,IFIH1,CLPX,CHD6,CHD7,DDX31,KIF26A	19.97929848	GOMF_ATP_HYDROLYSIS_ACTIVITY
GOBP_CHROMOSOME_SEGREGATION	9.50E-20	4.81E-17	1.151220522	0.519769527	2.425819845	301	KIF23,BRCA1,LATS1,CCNE2,TUBG1,CDC6,RIOK3,SMC5,TTK,INCENP,ZNF207,CDC27,RAD18,TPR,NCAPD3,PDS5A,SMC4,NCAPH,CENPN,BAZ1B,MKI67,CDCA8,NCAPG2,RAD21,SMARCA5,SKA1,MAD2L1,CSNK2A1,KIF14,SKA3,KNTC1,BRIP1,CHMP4C,FANCD2,CDCA2,NEK2,ESCO2,UVRAG,CCNE1,PRC1,SYCP2,NUF2,APC,DYNC1H1,SUN1,CENPF,ZWILCH,ECT2,PDCD6IP,BUB1B,NIPBL,RMI1,VPS4B,CHAMP1,CENPC,TRIP13,KIF18B,BUB1,FAM83D,SMC3,SMC2,SMC1A,SPICE1,NUSAP1,KPNB1,TLK1,CHMP2B,KIF18A,KIF4A,MCMBP,PUM1,KIF4B,CENPE,CEP55,ANAPC1,TLK2,CDCA5,SPAG5,TOP2A,HJURP,CEP85,TEX12,ACTR2,MAP10,DSCC1,CDC23,CIAO1,CENPK,NCAPD2,TOP2B,AKAP8,SLX4,STAG2,DLGAP5,ERCC4,NDC1,GEN1,CDC20,ESPL1,KIF2C,FANCM,PLK1,SRPK1,PLSCR1,INO80,STAG1,CHFR,SMC1B,SPDL1,DDX3X,SFPQ,ZWINT,HNRNPU,TUBG2,EML4,ZW10,SMC6,NAA50,NDEL1,FBXO5,XRCC3,CENPH,TOP3A,DDX11,ATRX,BECN1,KNSTRN,TERF1,NDC80	19.02220786	GOBP_CHROMOSOME_SEGREGATION
GOCC_CHROMOSOMAL_REGION	1.43E-17	6.73E-15	1.076868193	0.489534563	2.288609466	316	AHCTF1,ORC1,MCM4,SMC5,PRKDC,CLIP1,CENPU,TTK,TP53BP1,POLR2B,KAT7,INCENP,ZNF207,CHD4,CENPL,TPR,DNMT1,NCAPD3,KANSL1,PDS5A,SMC4,DYNC1LI2,CENPN,CKAP5,LRIF1,CDCA8,RAD21,ORC3,SKA1,MAD2L1,NBN,DHX36,FBXO28,SKA3,KNTC1,CHMP4C,BRCA2,NEK2,ESCO2,UVRAG,MCM2,NUP98,BOD1L1,NUF2,TNKS2,APC,CENPF,ZWILCH,SETX,BUB1B,RAD51AP1,NUP160,CHAMP1,CENPC,MSH2,RIF1,GATAD2B,FMR1,BUB1,CHEK1,PCNA,LIG4,SMCHD1,SMC3,SUV39H2,SMC1A,FBXW11,CHMP2B,KIF18A,ATR,CDK2,EZH2,CENPE,CLASP2,CBX1,MIS18BP1,CDCA5,SPAG5,CENPI,TOP2A,HJURP,NUP133,MTBP,CDC73,DSCC1,HELLS,HDAC2,CENPK,NCAPD2,NUP107,SLX4,DNA2,STAG2,PHF2,MEAF6,ERCC6L,ERCC4,KIF2C,PLK1,STAG1,SMC1B,SPDL1,RAD51,PPP1R12A,ZWINT,HNRNPU,PARP1,ZW10,SMC6,NDEL1,XRCC3,CENPH,ATRX,DYNC1I1,KNSTRN,TERF1,NDC80,WRN,PPP2R5A,CLASP1,RECQL4,CENPQ,TOX4,SUV39H1,THOC3,CCNB1,XPO1,RAD50,ZBTB10,PHF6,BLM,MCM3,DDB1,BUB3,PDS5B,ZNF827,SIN3A,SS18L1	16.84614697	GOCC_CHROMOSOMAL_REGION
REACTOME_CELL_CYCLE_CHECKPOINTS	2.96E-17	1.23E-14	1.067209987	0.52828559	2.370460921	245	CLSPN,BRCA1,MCM8,CCNE2,AHCTF1,PSME3,PSMD12,CDC6,TOPBP1,ORC1,MCM4,CLIP1,CENPU,HERC2,TP53BP1,INCENP,CENPL,MCM10,CDC27,DYNC1LI2,CENPN,CKAP5,RFC3,CDCA8,RFC5,PSMD11,ORC3,SKA1,PSME4,MAD2L1,NBN,EXO1,KNTC1,BRIP1,PPP2R1B,CCNE1,MCM2,NUP98,NUF2,DYNC1H1,CENPF,ZWILCH,WEE1,BUB1B,RMI1,NUP160,CCNA2,CENPC,BUB1,CHEK1,PSMD3,DBF4,KIF18A,ATR,ORC6,CDK2,YWHAG,CENPE,CLASP2,ANAPC1,KIF2A,CDC25A,CENPI,NUP133,TAOK1,GTSE1,MAPRE1,YWHAZ,RANBP2,CDC23,BARD1,RAD1,CENPK,PKMYT1,NUP107,DNA2,PSMD2,MDC1,ERCC6L,CDC20,KIF2C,UBE2E1,PLK1,SPDL1,ZWINT,PSMD5,ZW10,HUS1,NDEL1,CENPH,TOP3A,DYNC1I1,NDC80,WRN,CDC7,PPP2R5A,CLASP1,YWHAQ,UBE2D1,RHNO1,CDC45,CENPQ	16.52850304	REACTOME_CELL_CYCLE_CHECKPOINTS
GOBP_SPINDLE_ORGANIZATION	8.47E-17	3.16E-14	1.057463573	0.563768924	2.472411885	187	PLK2,KIF23,STIL,DLG1,TUBG1,TPX2,WDR62,AUNIP,TTK,INCENP,CENPJ,GPSM2,ZNF207,TPR,HAUS3,CKAP5,ASPM,PCNT,GOLGA6A,LSM14A,CHMP4C,SENP6,EML1,NEK2,UVRAG,MYBL2,PRC1,CLTC,KIF3B,NUF2,DYNC1H1,PDCD6IP,GOLGA8M,CEP192,VPS4B,TACC2,MAP9,CEP97,RNF4,SBDS,SMC3,SMC1A,SPICE1,KPNB1,CEP72,TUBGCP5,CHMP2B,KIF4A,GOLGA2,KIF4B,CENPE,CLASP2,TPPP,KIF2A,SPAG5,MAP10,MZT1,MAPRE1,NEK7,AURKA,KIF11,STAG2,KIF15,DLGAP5,KIFC2,SPAST,CDC20,ESPL1,TUBGCP3,PLK1,CCSAP,INO80,STAG1,GOLGA8R,TUBB1,HNRNPU,TUBG2,HAUS6,TUBGCP4,EZR,HAUS2,TBCE,FBXO5,CENPH,ATRX,KNSTRN,NDC80,TRIM36,CLASP1	16.07213345	GOBP_SPINDLE_ORGANIZATION
REACTOME_MITOTIC_PROMETAPHASE	1.90E-16	6.13E-14	1.047626488	0.565209632	2.461150908	191	CEP135,AHCTF1,TUBG1,CLIP1,PLK4,CENPU,INCENP,CENPJ,CENPL,PDS5A,SMC4,CEP152,NCAPH,DYNC1LI2,HAUS3,CENPN,CKAP5,PCNT,CDCA8,RAD21,SKA1,MAD2L1,CSNK2A1,KNTC1,PPP2R1B,NEK2,CCP110,NUP98,NUF2,DYNC1H1,CENPF,ZWILCH,BUB1B,NEDD1,CEP192,CEP57,NUP160,CENPC,BUB1,ALMS1,SMC3,SMC2,AKAP9,SMC1A,CEP72,TUBGCP5,KIF18A,YWHAG,CENPE,CLASP2,KIF2A,CDCA5,CENPI,NUP133,TAOK1,MZT1,MAPRE1,NEK7,RANBP2,CENPK,NCAPD2,NUP107,NINL,STAG2,ERCC6L,CDC20,KIF2C,TUBGCP3,ODF2,PLK1,STAG1,SPDL1,CEP78,TUBB1,ZWINT,TUBG2,EML4,ZW10,HAUS6,TUBGCP4,HAUS2,NDEL1,TUBB4B,CENPH,CEP76,DYNC1I1,NDC80,PPP2R5A,CLASP1	15.72027244	REACTOME_MITOTIC_PROMETAPHASE
HALLMARK_MITOTIC_SPINDLE	2.99E-16	8.83E-14	1.037696155	0.557537474	2.408446768	198	KIF23,LATS1,DLG1,ANLN,OPHN1,TRIO,TPX2,CLIP1,TTK,ARHGAP5,INCENP,CENPJ,ARHGAP29,ARHGEF11,CDC27,SMC4,CKAP5,RASAL2,NOTCH2,RFC1,PCNT,LRPPRC,ARHGEF12,SASS6,SPTAN1,KIF5B,KNTC1,RHOF,BRCA2,NEK2,ARFGEF1,PRC1,NF1,KIF3B,WASL,APC,DYNC1H1,CENPF,ECT2,CD2AP,CEP192,CTTN,CEP57,RICTOR,BUB1,SPTBN1,ROCK1,ALMS1,ALS2,SMC3,ACTN4,SMC1A,NUSAP1,TLK1,CEP72,TUBGCP5,FGD6,KIF4A,CENPE,FLNB,NCK1,TOP2A,KIF20B,LLGL1,MAPRE1,AURKA,STAU1,KIF11,RASA2,SOS1,KIF15,RANBP9,DLGAP5,ESPL1,KIF2C,TUBGCP3,PLK1,RABGAP1,KIF1B,PPP4R2,CDC42BPA,ABI1,MID1,EZR	15.52399507	HALLMARK_MITOTIC_SPINDLE
